Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,2983
design__instance__area,29649.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00018102557805832475
power__switching__total,0.00003598315379349515
power__leakage__total,0.0000012066229828633368
power__total,0.000218215340282768
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,5.239591575583042
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,5.461483864184637
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11421898472544018
timing__setup__ws__corner:nom_fast_1p32V_m40C,18.62513573864639
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114219
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.625135
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,11.158151163308371
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,11.456540929094606
timing__hold__ws__corner:nom_slow_1p08V_125C,0.4115197743493843
timing__setup__ws__corner:nom_slow_1p08V_125C,16.816225332647807
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.411520
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,16.816225
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,7.331505832168247
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,7.562815476820264
timing__hold__ws__corner:nom_typ_1p20V_25C,0.22158817075097376
timing__setup__ws__corner:nom_typ_1p20V_25C,17.97066013529844
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.221588
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.970659
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,11.158151163308371
clock__skew__worst_setup,5.461483864184637
timing__hold__ws,0.11421898472544018
timing__setup__ws,16.816225332647807
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114219
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,16.816225
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,0.48 3.78 201.6 151.2
design__io,45
design__die__area,31318.4
design__core__area,29649.1
design__instance__count__stdcell,1199
design__instance__area__stdcell,11459.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.386512
design__instance__utilization__stdcell,0.386512
design__rows,39
design__rows:CoreSite,39
design__sites,16341
design__sites:CoreSite,16341
design__instance__count__class:inverter,783
design__instance__area__class:inverter,4263.84
design__instance__count__class:sequential_cell,72
design__instance__area__class:sequential_cell,3567.11
design__instance__count__class:multi_input_combinational_cell,265
design__instance__area__class:multi_input_combinational_cell,2411.34
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,65
design__instance__area__class:timing_repair_buffer,968.89
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,10471.9
design__violations,0
design__instance__count__class:clock_buffer,14
design__instance__area__class:clock_buffer,248.573
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,35
global_route__vias,4198
global_route__wirelength,17640
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1213
route__net__special,2
route__drc_errors__iter:0,116
route__wirelength__iter:0,10837
route__drc_errors__iter:1,13
route__wirelength__iter:1,10769
route__drc_errors__iter:2,13
route__wirelength__iter:2,10737
route__drc_errors__iter:3,0
route__wirelength__iter:3,10732
route__drc_errors,0
route__wirelength,10732
route__vias,4341
route__vias__singlecut,4341
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,228.58
design__instance__count__class:fill_cell,1784
design__instance__area__class:fill_cell,18189.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,17
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19984
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00015762
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000163811
