Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,48969
design__instance__area,526140
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.057416658848524094
power__switching__total,0.06822533905506134
power__leakage__total,0.00000987112525763223
power__total,0.12565186619758606
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.29465400398059377
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2909727818825808
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11491863341755855
timing__setup__ws__corner:nom_fast_1p32V_m40C,9.388391663157437
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114919
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,9.388391
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.338475118624558
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.33368506124934066
timing__hold__ws__corner:nom_slow_1p08V_125C,0.615596258059803
timing__setup__ws__corner:nom_slow_1p08V_125C,-5.081281317310742
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-2268.2436979576005
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-5.081281317310742
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.615596
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,795
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-5.081281
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,795
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3101804179079423
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.30697559252326945
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30294778654274207
timing__setup__ws__corner:nom_typ_1p20V_25C,4.138959514495017
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302948
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,4.138959
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.29465400398059377
clock__skew__worst_setup,0.2909727818825808
timing__hold__ws,0.11491863341755855
timing__setup__ws,-5.081281317310742
timing__hold__tns,0.0
timing__setup__tns,-2268.2436979576005
timing__hold__wns,0
timing__setup__wns,-5.081281317310742
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114919
timing__hold_r2r_vio__count,0
timing__setup_vio__count,795
timing__setup_r2r__ws,-5.081281
timing__setup_r2r_vio__count,795
design__die__bbox,0.0 0.0 1724.16 313.74
design__core__bbox,2.88 3.78 1721.28 309.96
design__io,45
design__die__area,540938
design__core__area,526140
design__instance__count__stdcell,32237
design__instance__area__stdcell,445524
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.846779
design__instance__utilization__stdcell,0.846779
design__rows,81
design__rows:CoreSite,81
design__sites,289980
design__sites:CoreSite,289980
design__instance__count__class:buffer,3
design__instance__area__class:buffer,38.1024
design__instance__count__class:inverter,1416
design__instance__area__class:inverter,8168.43
design__instance__count__class:sequential_cell,1907
design__instance__area__class:sequential_cell,96145.1
design__instance__count__class:multi_input_combinational_cell,23322
design__instance__area__class:multi_input_combinational_cell,235364
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,5209
design__instance__area__class:timing_repair_buffer,97161.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.04904E+6
design__violations,0
design__instance__count__class:clock_buffer,360
design__instance__area__class:clock_buffer,8491.39
design__instance__count__class:clock_inverter,19
design__instance__area__class:clock_inverter,150.595
design__instance__count__setup_buffer,82
design__instance__count__hold_buffer,22
global_route__vias,236060
global_route__wirelength,1608213
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
route__net,32222
route__net__special,2
route__drc_errors__iter:0,11544
route__wirelength__iter:0,1151330
route__drc_errors__iter:1,5239
route__wirelength__iter:1,1144729
route__drc_errors__iter:2,5139
route__wirelength__iter:2,1143189
route__drc_errors__iter:3,166
route__wirelength__iter:3,1141985
route__drc_errors__iter:4,0
route__wirelength__iter:4,1141918
route__drc_errors,0
route__wirelength,1141918
route__vias,220993
route__vias__singlecut,220993
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,1866.52
design__instance__count__class:fill_cell,16732
design__instance__area__class:fill_cell,80615.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,37
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,37
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,37
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,37
