Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,9
design__inferred_latch__count,0
design__instance__count,4867
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0011435872875154018
power__switching__total,0.00020967530144844204
power__leakage__total,0.0000014058639408176532
power__total,0.0013546684058383107
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25787647747096515
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2584494913457558
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11852513750390105
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.292993526622427
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.118525
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.914225
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27124916969193197
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2685195197752376
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6236983328557524
timing__setup__ws__corner:nom_slow_1p08V_125C,10.644221805247113
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.623698
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.359760
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26266242702087517
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26177272201935364
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30417380586350984
timing__setup__ws__corner:nom_typ_1p20V_25C,11.04971789787258
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.304174
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,16.977062
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25787647747096515
clock__skew__worst_setup,0.2584494913457558
timing__hold__ws,0.11852513750390105
timing__setup__ws,10.644221805247113
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118525
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.359760
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2804
design__instance__area__stdcell,45759.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.761267
design__instance__utilization__stdcell,0.761267
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,6
design__instance__area__class:buffer,78.0192
design__instance__count__class:inverter,133
design__instance__area__class:inverter,763.862
design__instance__count__class:sequential_cell,332
design__instance__area__class:sequential_cell,16483.8
design__instance__count__class:multi_input_combinational_cell,1545
design__instance__area__class:multi_input_combinational_cell,14687.6
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,721
design__instance__area__class:timing_repair_buffer,12285.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,68725.1
design__violations,0
design__instance__count__class:clock_buffer,60
design__instance__area__class:clock_buffer,1415.23
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,45.36
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,575
global_route__vias,17833
global_route__wirelength,110924
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2809
route__net__special,2
route__drc_errors__iter:0,908
route__wirelength__iter:0,74380
route__drc_errors__iter:1,324
route__wirelength__iter:1,73544
route__drc_errors__iter:2,274
route__wirelength__iter:2,73384
route__drc_errors__iter:3,4
route__wirelength__iter:3,73287
route__drc_errors__iter:4,0
route__wirelength__iter:4,73281
route__drc_errors,0
route__wirelength,73281
route__vias,16236
route__vias__singlecut,16236
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,540.945
design__instance__count__class:fill_cell,2063
design__instance__area__class:fill_cell,14350.1
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,23
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,23
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,23
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,23
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19976
