Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2396
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0005978690460324287
power__switching__total,0.00013959576608613133
power__leakage__total,7.032484745650436E-7
power__total,0.0007381680770777166
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2574176222819103
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25562744311522373
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.09851369998597788
timing__setup__ws__corner:nom_fast_1p32V_m40C,6.7182723508162745
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.098514
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25887645537752635
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2586635701065337
timing__hold__ws__corner:nom_slow_1p08V_125C,0.5915010870749053
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.47347194172128315
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-1.5333867942742245
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.47347194172128315
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.591501
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,4
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2577672592778288
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.25666916540869145
timing__hold__ws__corner:nom_typ_1p20V_25C,0.27874858765749483
timing__setup__ws__corner:nom_typ_1p20V_25C,4.0149626981706525
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.278749
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2574176222819103
clock__skew__worst_setup,0.25562744311522373
timing__hold__ws,0.09851369998597788
timing__setup__ws,-0.47347194172128315
timing__hold__tns,0.0
timing__setup__tns,-1.5333867942742245
timing__hold__wns,0
timing__setup__wns,-0.47347194172128315
timing__hold_vio__count,0
timing__hold_r2r__ws,0.098514
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1358
design__instance__area__stdcell,21593.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.746097
design__instance__utilization__stdcell,0.746097
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:inverter,127
design__instance__area__class:inverter,733.018
design__instance__count__class:sequential_cell,128
design__instance__area__class:sequential_cell,6392.13
design__instance__count__class:multi_input_combinational_cell,756
design__instance__area__class:multi_input_combinational_cell,8103.11
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,287
design__instance__area__class:timing_repair_buffer,5129.31
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,28607.7
design__violations,0
design__instance__count__class:clock_buffer,60
design__instance__area__class:clock_buffer,1235.61
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,171
global_route__vias,9112
global_route__wirelength,51288
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1366
route__net__special,2
route__drc_errors__iter:0,415
route__wirelength__iter:0,32898
route__drc_errors__iter:1,160
route__wirelength__iter:1,32689
route__drc_errors__iter:2,142
route__wirelength__iter:2,32626
route__drc_errors__iter:3,0
route__wirelength__iter:3,32622
route__drc_errors,0
route__wirelength,32622
route__vias,8347
route__vias__singlecut,8347
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,353.16
design__instance__count__class:fill_cell,1038
design__instance__area__class:fill_cell,7348.32
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,17
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19977
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19989
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00023416
