Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,11058
design__instance__area,125146
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,5
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.014671496115624905
power__switching__total,0.020310182124376297
power__leakage__total,0.0000024532785118935863
power__total,0.03498413413763046
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3598670352459183
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.3598670352459183
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12274925867630991
timing__setup__ws__corner:nom_fast_1p32V_m40C,12.580788322762714
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.122749
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.394370
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,5
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.4290316279233977
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.4290316279233977
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6383028730685311
timing__setup__ws__corner:nom_slow_1p08V_125C,6.598886956977413
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.638303
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.598887
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,5
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.3817775093011712
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.3817775093011712
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31042402860201046
timing__setup__ws__corner:nom_typ_1p20V_25C,10.832845149751881
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.310424
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.564001
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3598670352459183
clock__skew__worst_setup,0.3598670352459183
timing__hold__ws,0.12274925867630991
timing__setup__ws,6.598886956977413
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.122749
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.598887
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,7686
design__instance__area__stdcell,105504
design__instance__count__macros,1
design__instance__area__macros,273.9
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.834965
design__instance__utilization__stdcell,0.834608
design__rows,90
design__rows:CoreSite,90
design__sites,68823
design__sites:CoreSite,68823
design__instance__count__class:macro,1
design__instance__area__class:macro,273.9
design__instance__count__class:inverter,265
design__instance__area__class:inverter,1516.84
design__instance__count__class:sequential_cell,410
design__instance__area__class:sequential_cell,20319.5
design__instance__count__class:multi_input_combinational_cell,5659
design__instance__area__class:multi_input_combinational_cell,58875.5
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1193
design__instance__area__class:timing_repair_buffer,22045
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,314270
design__violations,0
design__instance__count__class:clock_buffer,101
design__instance__area__class:clock_buffer,2349.65
design__instance__count__class:clock_inverter,30
design__instance__area__class:clock_inverter,244.944
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,588
global_route__vias,67622
global_route__wirelength,582617
antenna__violating__nets,8
antenna__violating__pins,8
route__antenna_violation__count,8
antenna_diodes_count,28
design__instance__count__class:antenna_cell,28
design__instance__area__class:antenna_cell,152.41
route__net,7629
route__net__special,2
route__drc_errors__iter:0,5453
route__wirelength__iter:0,419291
route__drc_errors__iter:1,3284
route__wirelength__iter:1,415530
route__drc_errors__iter:2,2943
route__wirelength__iter:2,414321
route__drc_errors__iter:3,701
route__wirelength__iter:3,413946
route__drc_errors__iter:4,323
route__wirelength__iter:4,413844
route__drc_errors__iter:5,282
route__wirelength__iter:5,413832
route__drc_errors__iter:6,203
route__wirelength__iter:6,413808
route__drc_errors__iter:7,176
route__wirelength__iter:7,413838
route__drc_errors__iter:8,109
route__wirelength__iter:8,413853
route__drc_errors__iter:9,76
route__wirelength__iter:9,413840
route__drc_errors__iter:10,35
route__wirelength__iter:10,413895
route__drc_errors__iter:11,35
route__wirelength__iter:11,413941
route__drc_errors__iter:12,0
route__wirelength__iter:12,413950
route__drc_errors,0
route__wirelength,413950
route__vias,63777
route__vias__singlecut,63777
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,1296.49
design__instance__count__class:fill_cell,3371
design__instance__area__class:fill_cell,19368.7
