Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,4379
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0012857078108936548
power__switching__total,0.00020061344548594207
power__leakage__total,0.000001145184000961308
power__total,0.0014874663902446628
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2655090111809454
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26479702513511694
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12419682300790734
timing__setup__ws__corner:nom_fast_1p32V_m40C,15.17049995231592
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.124197
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.967808
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27243139071313954
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.270694280208531
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6343846183480569
timing__setup__ws__corner:nom_slow_1p08V_125C,13.117550084104948
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.634385
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.117550
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2681289433041282
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2651142991289523
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30747633087711285
timing__setup__ws__corner:nom_typ_1p20V_25C,14.868750207472933
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.307476
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.527000
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2655090111809454
clock__skew__worst_setup,0.26479702513511694
timing__hold__ws,0.12419682300790734
timing__setup__ws,13.117550084104948
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.124197
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.117550
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2971
design__instance__area__stdcell,52269.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.86957
design__instance__utilization__stdcell,0.86957
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,108
design__instance__area__class:inverter,633.226
design__instance__count__class:sequential_cell,381
design__instance__area__class:sequential_cell,18922.4
design__instance__count__class:multi_input_combinational_cell,1620
design__instance__area__class:multi_input_combinational_cell,17400.1
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,787
design__instance__area__class:timing_repair_buffer,13695.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,85101.7
design__violations,0
design__instance__count__class:clock_buffer,66
design__instance__area__class:clock_buffer,1556.76
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,32.6592
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,604
global_route__vias,20661
global_route__wirelength,136451
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2977
route__net__special,2
route__drc_errors__iter:0,864
route__wirelength__iter:0,92537
route__drc_errors__iter:1,357
route__wirelength__iter:1,91647
route__drc_errors__iter:2,370
route__wirelength__iter:2,91568
route__drc_errors__iter:3,35
route__wirelength__iter:3,91551
route__drc_errors__iter:4,1
route__wirelength__iter:4,91528
route__drc_errors__iter:5,0
route__wirelength__iter:5,91527
route__drc_errors,0
route__wirelength,91527
route__vias,19044
route__vias__singlecut,19044
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,509.46
design__instance__count__class:fill_cell,1408
design__instance__area__class:fill_cell,7840.02
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,29
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,29
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,29
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,29
timing__unannotated_net_filtered__count,0
