Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2113
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0048626139760017395
power__switching__total,0.002668144414201379
power__leakage__total,0.0000013818483921568259
power__total,0.007532139774411917
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.27644218252533337
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2791829069170116
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.14828413916468372
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.0710312939683024
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.148284
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,3.815623
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2716712209866797
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.28044087290621644
timing__hold__ws__corner:nom_slow_1p08V_125C,0.37833098835720186
timing__setup__ws__corner:nom_slow_1p08V_125C,-1.578356157113882
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-15.110325862679396
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-1.578356157113882
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.727781
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,27
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-1.578356
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,27
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27242675553188067
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.277755631911763
timing__hold__ws__corner:nom_typ_1p20V_25C,0.36009807266387694
timing__setup__ws__corner:nom_typ_1p20V_25C,0.5518701207778356
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.360098
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,3.339167
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2716712209866797
clock__skew__worst_setup,0.277755631911763
timing__hold__ws,0.14828413916468372
timing__setup__ws,-1.578356157113882
timing__hold__tns,0.0
timing__setup__tns,-15.110325862679396
timing__hold__wns,0
timing__setup__wns,-1.578356157113882
timing__hold_vio__count,0
timing__hold_r2r__ws,0.148284
timing__hold_r2r_vio__count,0
timing__setup_vio__count,27
timing__setup_r2r__ws,-1.578356
timing__setup_r2r_vio__count,27
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,377
design__instance__area__stdcell,8458.73
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.29227
design__instance__utilization__stdcell,0.29227
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,9
design__instance__area__class:inverter,48.9888
design__instance__count__class:sequential_cell,69
design__instance__area__class:sequential_cell,3911.85
design__instance__count__class:multi_input_combinational_cell,146
design__instance__area__class:multi_input_combinational_cell,2104.7
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,115
design__instance__area__class:timing_repair_buffer,1812.59
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,16786.6
design__violations,0
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,493.517
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,65.3184
design__instance__count__setup_buffer,11
design__instance__count__hold_buffer,6
global_route__vias,2996
global_route__wirelength,23858
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,382
route__net__special,2
route__drc_errors__iter:0,176
route__wirelength__iter:0,17714
route__drc_errors__iter:1,23
route__wirelength__iter:1,17656
route__drc_errors__iter:2,14
route__wirelength__iter:2,17654
route__drc_errors__iter:3,0
route__wirelength__iter:3,17649
route__drc_errors,0
route__wirelength,17649
route__vias,2586
route__vias__singlecut,2586
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,308.79
design__instance__count__class:fill_cell,1736
design__instance__area__class:fill_cell,20482.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,19
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19234
