Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,84
design__inferred_latch__count,0
design__instance__count,4746
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0022330081555992365
power__switching__total,0.0007173373596742749
power__leakage__total,0.000001261969600818702
power__total,0.002951607573777437
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25844116467283557
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2584956211137336
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1148481897646538
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.425428038172578
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.114848
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26653560668527476
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2672250552030659
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6273535757342543
timing__setup__ws__corner:nom_slow_1p08V_125C,10.968598784150322
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.627354
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2616864021767477
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26181405007261416
timing__hold__ws__corner:nom_typ_1p20V_25C,0.29772007923884
timing__setup__ws__corner:nom_typ_1p20V_25C,11.256301098710043
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.297720
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25844116467283557
clock__skew__worst_setup,0.2584956211137336
timing__hold__ws,0.1148481897646538
timing__setup__ws,10.968598784150322
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114848
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,2817
design__instance__area__stdcell,49248.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.819312
design__instance__utilization__stdcell,0.819312
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:inverter,97
design__instance__area__class:inverter,567.907
design__instance__count__class:sequential_cell,373
design__instance__area__class:sequential_cell,18481.5
design__instance__count__class:multi_input_combinational_cell,1469
design__instance__area__class:multi_input_combinational_cell,14371.9
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,800
design__instance__area__class:timing_repair_buffer,14183.2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,72361.1
design__violations,0
design__instance__count__class:clock_buffer,67
design__instance__area__class:clock_buffer,1580.34
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,63.504
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,576
global_route__vias,19140
global_route__wirelength,119397
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,0
route__net,2816
route__net__special,2
route__drc_errors__iter:0,693
route__wirelength__iter:0,79719
route__drc_errors__iter:1,322
route__wirelength__iter:1,79098
route__drc_errors__iter:2,292
route__wirelength__iter:2,79018
route__drc_errors__iter:3,7
route__wirelength__iter:3,78943
route__drc_errors__iter:4,0
route__wirelength__iter:4,78943
route__drc_errors,0
route__wirelength,78943
route__vias,17885
route__vias__singlecut,17885
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,529.02
design__instance__count__class:fill_cell,1929
design__instance__area__class:fill_cell,10861
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19958
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19979
