Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2438
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00026844756212085485
power__switching__total,0.000050834201829275116
power__leakage__total,4.739534915643162E-7
power__total,0.0003197557234670967
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2678707054212969
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26595409960410554
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1237630033487658
timing__setup__ws__corner:nom_fast_1p32V_m40C,31.263923890212705
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.123763
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,37.031490
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2674515407064949
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.26643629723291334
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6445117399981948
timing__setup__ws__corner:nom_slow_1p08V_125C,30.597147015404012
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.644512
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,33.145920
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26688135790049716
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26536257275985575
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3096991084575793
timing__setup__ws__corner:nom_typ_1p20V_25C,31.01912414725155
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.309699
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,35.619858
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26688135790049716
clock__skew__worst_setup,0.26536257275985575
timing__hold__ws,0.1237630033487658
timing__setup__ws,30.597147015404012
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123763
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,33.145920
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1808
design__instance__area__stdcell,26646.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.920695
design__instance__utilization__stdcell,0.920695
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,78
design__instance__area__class:buffer,566.093
design__instance__count__class:inverter,52
design__instance__area__class:inverter,359.251
design__instance__count__class:sequential_cell,138
design__instance__area__class:sequential_cell,6858.43
design__instance__count__class:multi_input_combinational_cell,1081
design__instance__area__class:multi_input_combinational_cell,10735.8
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,396
design__instance__area__class:timing_repair_buffer,6887.46
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,54778.7
design__violations,0
design__instance__count__class:clock_buffer,53
design__instance__area__class:clock_buffer,1184.8
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,54.432
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,262
global_route__vias,12880
global_route__wirelength,85220
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1813
route__net__special,2
route__drc_errors__iter:0,679
route__wirelength__iter:0,59302
route__drc_errors__iter:1,286
route__wirelength__iter:1,58875
route__drc_errors__iter:2,283
route__wirelength__iter:2,58762
route__drc_errors__iter:3,1
route__wirelength__iter:3,58678
route__drc_errors__iter:4,0
route__wirelength__iter:4,58677
route__drc_errors,0
route__wirelength,58677
route__vias,11825
route__vias__singlecut,11825
route__vias__multicut,0
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,416.865
design__instance__count__class:fill_cell,630
design__instance__area__class:fill_cell,2295.22
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,29
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,29
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,29
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,29
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19989
