Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,107
design__inferred_latch__count,0
design__instance__count,4871
design__instance__area,61578.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,1200
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,55
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,9
power__internal__total,0.00009784469875739887
power__switching__total,0.000010107737580256071
power__leakage__total,0.0000013019814559811493
power__total,0.00010925441893050447
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-1.2049800387445642
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,1.1372710872714147
timing__hold__ws__corner:nom_fast_1p32V_m40C,-0.9187021403657231
timing__setup__ws__corner:nom_fast_1p32V_m40C,398.27595504440393
timing__hold__tns__corner:nom_fast_1p32V_m40C,-57.57941131310633
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,-0.9187021403657231
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,369
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,-0.918702
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,369
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,491.777954
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,1885
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,55
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,9
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-1.1009321543800688
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,1.0561314344226214
timing__hold__ws__corner:nom_slow_1p08V_125C,-0.3142179938513627
timing__setup__ws__corner:nom_slow_1p08V_125C,396.79654818329203
timing__hold__tns__corner:nom_slow_1p08V_125C,-1.6670612029333425
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,-0.3142179938513627
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,7
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,-0.314218
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,7
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,479.049286
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,1525
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,55
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,9
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-1.155381600872813
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,1.1113117407531465
timing__hold__ws__corner:nom_typ_1p20V_25C,-0.6744032190251376
timing__setup__ws__corner:nom_typ_1p20V_25C,397.9165625184921
timing__hold__tns__corner:nom_typ_1p20V_25C,-16.635569836971516
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,-0.6744032190251376
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,97
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,-0.674403
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,97
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,487.043365
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,1885
design__max_fanout_violation__count,55
design__max_cap_violation__count,9
clock__skew__worst_hold,-1.1009321543800688
clock__skew__worst_setup,1.0561314344226214
timing__hold__ws,-0.9187021403657231
timing__setup__ws,396.79654818329203
timing__hold__tns,-57.57941131310633
timing__setup__tns,0.0
timing__hold__wns,-0.9187021403657231
timing__setup__wns,0.0
timing__hold_vio__count,473
timing__hold_r2r__ws,-0.918702
timing__hold_r2r_vio__count,473
timing__setup_vio__count,0
timing__setup_r2r__ws,479.049286
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,0.48 3.78 201.6 309.96
design__io,45
design__die__area,63400.6
design__core__area,61578.9
design__instance__count__stdcell,2583
design__instance__area__stdcell,45349.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.736439
design__instance__utilization__stdcell,0.736439
design__rows,81
design__rows:CoreSite,81
design__sites,33939
design__sites:CoreSite,33939
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,73
design__instance__area__class:inverter,397.354
design__instance__count__class:sequential_cell,488
design__instance__area__class:sequential_cell,23906.5
design__instance__count__class:multi_input_combinational_cell,2021
design__instance__area__class:multi_input_combinational_cell,21038
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__displacement__total,11704.1
design__instance__displacement__mean,4.531
design__instance__displacement__max,25.858
route__wirelength__estimated,52567.3
design__violations,0
global_route__vias,19059
global_route__wirelength,120211
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2602
route__net__special,2
route__drc_errors__iter:0,1177
route__wirelength__iter:0,75940
route__drc_errors__iter:1,380
route__wirelength__iter:1,75340
route__drc_errors__iter:2,268
route__wirelength__iter:2,75144
route__drc_errors__iter:3,3
route__wirelength__iter:3,75039
route__drc_errors__iter:4,0
route__wirelength__iter:4,75037
route__drc_errors,0
route__wirelength,75037
route__vias,19121
route__vias__singlecut,19121
route__vias__multicut,0
flow__warnings__count:DRT-0120,9
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,4392.02
design__instance__count__class:fill_cell,2288
design__instance__area__class:fill_cell,16229.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,3
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,3
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,3
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
magic__illegal_overlap__count,0
