Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,156
design__inferred_latch__count,0
design__instance__count,31771
design__instance__area,505975
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,41
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,8
power__internal__total,0.0018149751704186201
power__switching__total,0.0003895678964909166
power__leakage__total,0.00001656392851145938
power__total,0.002221107017248869
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.36821574609376345
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.36846088334453364
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12195500510203006
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.869651264505203
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.121955
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,10.869651
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,125
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,41
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,8
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.4477881248099437
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.4480239361870433
timing__hold__ws__corner:nom_slow_1p08V_125C,0.650076233466142
timing__setup__ws__corner:nom_slow_1p08V_125C,-2.7368490470788975
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-25.295643629057157
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-2.7368490470788975
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.650076
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,20
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-2.736849
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,20
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,20
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,41
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,8
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.40047413740942106
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.40071500030142554
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3132358350248507
timing__setup__ws__corner:nom_typ_1p20V_25C,5.779419773006015
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.313236
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,5.779420
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,125
design__max_fanout_violation__count,41
design__max_cap_violation__count,8
clock__skew__worst_hold,-0.36821574609376345
clock__skew__worst_setup,0.36846088334453364
timing__hold__ws,0.12195500510203006
timing__setup__ws,-2.7368490470788975
timing__hold__tns,0.0
timing__setup__tns,-25.295643629057157
timing__hold__wns,0
timing__setup__wns,-2.7368490470788975
timing__hold_vio__count,0
timing__hold_r2r__ws,0.121955
timing__hold_r2r_vio__count,0
timing__setup_vio__count,20
timing__setup_r2r__ws,-2.736849
timing__setup_r2r_vio__count,20
design__die__bbox,0.0 0.0 1724.16 313.74
design__core__bbox,2.88 3.78 1721.28 309.96
design__io,45
design__die__area,540938
design__core__area,526140
design__instance__count__stdcell,8224
design__instance__area__stdcell,104600
design__instance__count__macros,1
design__instance__area__macros,150650
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.485138
design__instance__utilization__stdcell,0.27857
design__rows,145
design__rows:CoreSite,145
design__sites,195836
design__sites:CoreSite,195836
design__instance__count__class:macro,1
design__instance__area__class:macro,150650
design__instance__count__class:inverter,595
design__instance__area__class:inverter,3238.7
design__instance__count__class:sequential_cell,583
design__instance__area__class:sequential_cell,28560.5
design__instance__count__class:multi_input_combinational_cell,5358
design__instance__area__class:multi_input_combinational_cell,52341.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,5769.47
design__instance__displacement__mean,0.704
design__instance__displacement__max,16.68
route__wirelength__estimated,489062
design__violations,0
design__instance__count__class:timing_repair_buffer,1569
design__instance__area__class:timing_repair_buffer,18510.5
flow__warnings__count:STA-1140,2
design__instance__count__class:clock_buffer,59
design__instance__area__class:clock_buffer,1565.83
design__instance__count__class:clock_inverter,21
design__instance__area__class:clock_inverter,170.554
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,768
global_route__vias,66
global_route__wirelength,701366
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,6
design__instance__count__class:antenna_cell,39
design__instance__area__class:antenna_cell,212.285
route__net,8243
route__net__special,2
route__drc_errors__iter:0,295
route__wirelength__iter:0,550261
route__drc_errors__iter:1,23
route__wirelength__iter:1,550173
route__drc_errors__iter:2,22
route__wirelength__iter:2,550159
route__drc_errors__iter:3,0
route__wirelength__iter:3,550120
route__drc_errors__iter:4,19
route__wirelength__iter:4,550103
route__drc_errors__iter:5,17
route__wirelength__iter:5,550115
route__drc_errors__iter:6,6
route__wirelength__iter:6,550128
route__drc_errors__iter:7,6
route__wirelength__iter:7,550125
route__drc_errors__iter:8,0
route__wirelength__iter:8,550122
route__drc_errors,0
route__wirelength,550120
route__vias,60998
route__vias__singlecut,60998
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
flow__warnings__count:DRT-0418,159
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,1606.03
design__instance__count__class:fill_cell,23546
