Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,100
design__inferred_latch__count,0
design__instance__count,2017
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0007120731752365828
power__switching__total,0.0001310950901824981
power__leakage__total,4.6758034955018957E-7
power__total,0.0008436358184553683
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2734322290425692
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2734694770260988
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1367622720448388
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.891595822408275
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.136762
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.166229
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.28551248284844155
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2833799664024299
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6746103311362389
timing__setup__ws__corner:nom_slow_1p08V_125C,11.061463169626872
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.674610
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,11.061463
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.27471045660254645
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.27263922446922734
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3287734622050651
timing__setup__ws__corner:nom_typ_1p20V_25C,12.926288849619066
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.328773
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,14.299540
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2734322290425692
clock__skew__worst_setup,0.27263922446922734
timing__hold__ws,0.1367622720448388
timing__setup__ws,11.061463169626872
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.136762
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.061463
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1621
design__instance__area__stdcell,27368.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.945646
design__instance__utilization__stdcell,0.945646
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,5
design__instance__area__class:buffer,36.288
design__instance__count__class:inverter,61
design__instance__area__class:inverter,375.581
design__instance__count__class:sequential_cell,197
design__instance__area__class:sequential_cell,9746.96
design__instance__count__class:multi_input_combinational_cell,883
design__instance__area__class:multi_input_combinational_cell,8745.41
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,411
design__instance__area__class:timing_repair_buffer,7214.05
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,95622.8
design__violations,0
design__instance__count__class:clock_buffer,56
design__instance__area__class:clock_buffer,1206.58
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,27.216
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,305
global_route__vias,17452
global_route__wirelength,159912
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,3
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,16.3296
route__net,1625
route__net__special,2
route__drc_errors__iter:0,1361
route__wirelength__iter:0,114115
route__drc_errors__iter:1,873
route__wirelength__iter:1,112753
route__drc_errors__iter:2,752
route__wirelength__iter:2,112175
route__drc_errors__iter:3,218
route__wirelength__iter:3,112157
route__drc_errors__iter:4,73
route__wirelength__iter:4,112211
route__drc_errors__iter:5,14
route__wirelength__iter:5,112177
route__drc_errors__iter:6,0
route__wirelength__iter:6,112177
route__drc_errors,0
route__wirelength,112177
route__vias,15161
route__vias__singlecut,15161
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,545.475
design__instance__count__class:fill_cell,396
design__instance__area__class:fill_cell,1573.08
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,25
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,25
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,25
