Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2491
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0011710161343216896
power__switching__total,0.00046502516488544643
power__leakage__total,6.188082011249207E-7
power__total,0.0016366601921617985
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25725117209023585
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2596389843279803
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.1090939591764321
timing__setup__ws__corner:nom_fast_1p32V_m40C,10.954185424347791
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.109094
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2594074750652228
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2630763181761611
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6133199122168834
timing__setup__ws__corner:nom_slow_1p08V_125C,9.877745123650538
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.613320
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2571556651518413
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26073197117105995
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2946981631026471
timing__setup__ws__corner:nom_typ_1p20V_25C,10.575324026925573
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.294698
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2571556651518413
clock__skew__worst_setup,0.2596389843279803
timing__hold__ws,0.1090939591764321
timing__setup__ws,9.877745123650538
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109094
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1584
design__instance__area__stdcell,23590.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.815121
design__instance__utilization__stdcell,0.815121
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:inverter,41
design__instance__area__class:inverter,244.944
design__instance__count__class:sequential_cell,128
design__instance__area__class:sequential_cell,6372.17
design__instance__count__class:multi_input_combinational_cell,1024
design__instance__area__class:multi_input_combinational_cell,9786.87
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,330
design__instance__area__class:timing_repair_buffer,5943.97
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,30618.9
design__violations,0
design__instance__count__class:clock_buffer,60
design__instance__area__class:clock_buffer,1235.61
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,241
global_route__vias,10708
global_route__wirelength,55465
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1592
route__net__special,2
route__drc_errors__iter:0,445
route__wirelength__iter:0,34890
route__drc_errors__iter:1,152
route__wirelength__iter:1,34557
route__drc_errors__iter:2,122
route__wirelength__iter:2,34537
route__drc_errors__iter:3,0
route__wirelength__iter:3,34499
route__drc_errors,0
route__wirelength,34499
route__vias,10070
route__vias__singlecut,10070
route__vias__multicut,0
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,402.06
design__instance__count__class:fill_cell,907
design__instance__area__class:fill_cell,5350.67
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,22
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,22
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,22
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,22
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19961
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19976
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00038877
